playerID,year,firstName,lastName,pos,tmID,GP,G,A,Pts,SOG
hollake01,1980,Ken,Holland,G,HAR,1.0,0.0,0.0,0.0,0.0
hollaro01,1980,Rob,Holland,G,PIT,10.0,0.0,0.0,0.0,0.0
holmgpa01,1980,Paul,Holmgren,R,PHI,77.0,22.0,37.0,59.0,159.0
holtra01,1980,Randy,Holt,D,CAL,48.0,0.0,5.0,5.0,14.0
hopkide01,1980,Dean,Hopkins,R,LAK,67.0,8.0,18.0,26.0,60.0
hospoed01,1980,Ed,Hospodar,D,NYR,61.0,5.0,14.0,19.0,49.0
hothagr01,1980,Greg,Hotham,D,TOR,11.0,1.0,1.0,2.0,8.0
houlere01,1980,Rejean,Houle,L,MTL,77.0,27.0,31.0,58.0,158.0
houstke01,1980,Ken,Houston,R,CAL,42.0,15.0,15.0,30.0,78.0
howatga01,1980,Garry,Howatt,L,NYI,70.0,4.0,15.0,19.0,48.0
howema01,1980,Mark,Howe,D,HAR,63.0,19.0,46.0,65.0,172.0
howema02,1980,Marty,Howe,D,HAR,12.0,0.0,1.0,1.0,3.0
hoydada01,1980,Dave,Hoyda,L,WIN,9.0,1.0,0.0,1.0,2.0
huberwi01,1980,Willie,Huber,D,DET,80.0,15.0,34.0,49.0,207.0
huddych01,1980,Charlie,Huddy,D,EDM,12.0,2.0,5.0,7.0,23.0
hugheja02,1980,Jack,Hughes,D,COR,38.0,2.0,5.0,7.0,20.0
hughejo01,1980,John,Hughes,D,EDM,18.0,0.0,3.0,3.0,9.0
hughejo01,1980,John,Hughes,D,NYR,,,,,
hughepa01,1980,Pat,Hughes,R,PIT,58.0,10.0,9.0,19.0,89.0
hughepa01,1980,Pat,Hughes,R,EDM,2.0,0.0,0.0,0.0,3.0
hunteda01,1980,Dave,Hunter,L,EDM,78.0,12.0,16.0,28.0,104.0
hunteda02,1980,Dale,Hunter,C,QUE,80.0,19.0,44.0,63.0,152.0
hutchda01,1980,Dave,Hutchison,D,CHI,59.0,2.0,9.0,11.0,58.0
ingarea02,1980,Earl,Ingarfield,C,CAL,16.0,2.0,3.0,5.0,20.0
ingarea02,1980,Earl,Ingarfield,C,DET,22.0,2.0,1.0,3.0,18.0
innesga01,1980,Gary,Inness,G,WAS,3.0,0.0,0.0,0.0,0.0
jacksdo02,1980,Don,Jackson,D,MNS,10.0,0.0,3.0,3.0,14.0
jarvido01,1980,Doug,Jarvis,C,MTL,80.0,16.0,22.0,38.0,122.0
jarviwe01,1980,Wes,Jarvis,C,WAS,55.0,9.0,14.0,23.0,61.0
jenseal01,1980,Al,Jensen,G,DET,1.0,0.0,0.0,0.0,0.0
jensest01,1980,Steve,Jensen,L,LAK,74.0,19.0,19.0,38.0,118.0
johantr01,1980,Trevor,Johansen,D,COR,35.0,0.0,7.0,7.0,33.0
johnsbe01,1980,Bernie,Johnston,C,HAR,25.0,4.0,11.0,15.0,34.0
johnsed02,1980,Eddie,Johnstone,R,NYR,80.0,30.0,38.0,68.0,187.0
johnsja01,1980,Jay,Johnston,D,WAS,2.0,0.0,0.0,0.0,0.0
johnsma02,1980,Mark,Johnson,L,PIT,73.0,10.0,23.0,33.0,109.0
johnste01,1980,Terry,Johnson,D,QUE,13.0,0.0,1.0,1.0,5.0
jolygr01,1980,Greg,Joly,D,DET,17.0,0.0,2.0,2.0,8.0
jolyyv01,1980,Yvan,Joly,R,MTL,1.0,0.0,0.0,0.0,0.0
jonatst01,1980,Stan,Jonathan,L,BOS,74.0,14.0,24.0,38.0,85.0
kaareja01,1980,Jari,Kaarela,G,COR,5.0,0.0,0.0,0.0,0.0
kalluan01,1980,Anders,Kallur,R,NYI,78.0,36.0,28.0,64.0,163.0
kaspest01,1980,Steve,Kasper,C,BOS,76.0,21.0,35.0,56.0,165.0
kaszymi01,1980,Mike,Kaszycki,C,TOR,6.0,0.0,2.0,2.0,3.0
keaed01,1980,Ed,Kea,D,STL,74.0,3.0,18.0,21.0,59.0
keansdo01,1980,Doug,Keans,G,LAK,9.0,0.0,0.0,0.0,0.0
kearnde01,1980,Dennis,Kearns,D,VAN,46.0,1.0,14.0,15.0,43.0
kehoeri01,1980,Rick,Kehoe,R,PIT,80.0,55.0,33.0,88.0,299.0
kellybo01,1980,Bob,Kelly,L,WAS,80.0,26.0,36.0,62.0,125.0
kellyjo01,1980,John Paul,Kelly,L,LAK,19.0,3.0,6.0,9.0,18.0
kempke01,1980,Kevin,Kemp,D,HAR,3.0,0.0,0.0,0.0,5.0
keonda01,1980,Dave,Keon,C,HAR,80.0,13.0,34.0,47.0,131.0
kerrre01,1980,Reg,Kerr,L,CHI,70.0,30.0,30.0,60.0,154.0
kerrti01,1980,Tim,Kerr,R,PHI,68.0,22.0,23.0,45.0,95.0
kindror01,1980,Orest,Kindrachuk,C,PIT,13.0,3.0,9.0,12.0,35.0
kirtoma01,1980,Mark,Kirton,C,TOR,11.0,0.0,0.0,0.0,5.0
kirtoma01,1980,Mark,Kirton,C,DET,50.0,18.0,13.0,31.0,97.0
kitchmi01,1980,Mike,Kitchen,D,COR,75.0,1.0,7.0,8.0,49.0
klassra01,1980,Ralph,Klassen,C,STL,66.0,6.0,12.0,18.0,65.0
konrost01,1980,Steve,Konroyd,D,CAL,4.0,0.0,0.0,0.0,0.0
korabje01,1980,Jerry,Korab,D,LAK,78.0,9.0,43.0,52.0,120.0
kornji01,1980,Jim,Korn,D,DET,63.0,5.0,15.0,20.0,82.0
kotsoch01,1980,Chris,Kotsopoulos,D,NYR,54.0,4.0,12.0,16.0,104.0
kurrija01,1980,Jari,Kurri,R,EDM,75.0,32.0,43.0,75.0,202.0
labrada01,1980,Dan,Labraaten,L,DET,44.0,3.0,8.0,11.0,43.0
labrada01,1980,Dan,Labraaten,L,CAL,27.0,9.0,7.0,16.0,39.0
labreyv01,1980,Yvon,Labre,D,WAS,25.0,2.0,4.0,6.0,13.0
